T SUM NUM_NODES 31577
T SUM NUM_PRUNES 0
T SUM SEARCH_TIME 1.311316

Solving normal LP:
Solving with simplex method...done!
CPXlpopt ended with status 0!
CPXlpopt ended with lpstat 1!
Obj: w = 4 / 15 == 0.266667
Assigning optimum fraction and reducing LP.
temp_error_term = 0.0000005000
num_rounded = 435, num_remaining = 913
             d1r2a(0,1,0,1,1,0,0,1) =          4 /         15 == 0.2666666667 =/= 0.2666666667
           d1r2c(1,0,0,1,0,1,0,1,1) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
           d1r2c(1,0,0,1,0,1,0,1,0) =         -1 /          4 == -0.2500000000 =/= -0.2500000000
           d1r2c(1,0,0,1,0,1,0,0,1) =         -1 /          4 == -0.2500000000 =/= -0.2500000000
           d1r2c(1,0,0,1,0,1,0,0,0) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
           d1r2c(1,0,0,1,0,0,0,1,1) =         -7 /         30 == -0.2333333333 =/= -0.2333333333
           d1r2c(1,0,0,1,0,0,0,1,0) =         -3 /         20 == -0.1500000000 =/= -0.1500000000
           d1r2c(1,0,0,1,0,0,0,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(1,0,0,1,0,0,0,0,0) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
             d1r2a(0,1,0,1,1,0,1,0) =          4 /         15 == 0.2666666667 =/= 0.2666666667
             d1r2a(1,0,1,0,0,1,0,0) =         -4 /         15 == -0.2666666667 =/= -0.2666666667
             d1r2a(0,1,0,0,1,0,1,1) =          2 /          5 == 0.4000000000 =/= 0.4000000000
             d1r2a(0,1,0,0,1,0,0,1) =          2 /          5 == 0.4000000000 =/= 0.4000000000
             d1r2a(0,1,0,0,1,0,1,0) =          3 /         10 == 0.3000000000 =/= 0.3000000000
             d1r2a(0,1,0,0,1,0,0,0) =          1 /          5 == 0.2000000000 =/= 0.2000000000
             d1r2a(1,0,0,1,1,1,_,_) =        -19 /         60 == -0.3166666667 =/= -0.3166666667
             d1r2b(1,0,0,1,1,1,_,_) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2b(0,1,0,1,0,1,0,1) =          1 /         60 == 0.0166666667 =/= 0.0166666667
             d1r2b(1,0,0,1,1,0,1,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
             d1r2b(1,0,0,1,1,0,1,0) =         -4 /         15 == -0.2666666667 =/= -0.2666666667
             d1r2b(0,1,0,0,1,1,0,1) =          1 /          4 == 0.2500000000 =/= 0.2500000000
             d1r2b(0,1,0,0,0,1,0,1) =         13 /         30 == 0.4333333333 =/= 0.4333333333
             d1r2b(1,0,0,1,0,1,1,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2b(1,0,0,1,0,1,1,0) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2b(1,0,0,1,0,1,0,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2b(0,1,0,1,0,1,0,0) =          1 /         10 == 0.1000000000 =/= 0.1000000000
             d1r2a(1,0,0,1,1,0,1,0) =         -7 /         60 == -0.1166666667 =/= -0.1166666667
             d1r2b(1,0,0,1,0,0,1,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
             d1r2b(0,1,1,0,0,1,0,0) =         19 /         60 == 0.3166666667 =/= 0.3166666667
             d1r2b(0,1,0,0,1,1,0,0) =         23 /         60 == 0.3833333333 =/= 0.3833333333
             d1r2b(1,0,0,1,0,0,0,0) =         -2 /          5 == -0.4000000000 =/= -0.4000000000
             d1r2a(0,1,1,0,0,1,0,0) =         13 /         60 == 0.2166666667 =/= 0.2166666667
             d1r2a(1,0,0,1,0,1,1,1) =         -4 /         15 == -0.2666666667 =/= -0.2666666667
             d1r2a(0,1,0,1,0,1,0,1) =          4 /         15 == 0.2666666667 =/= 0.2666666667
             d1r2a(0,1,0,1,0,1,1,0) =          4 /         15 == 0.2666666667 =/= 0.2666666667
             d1r2a(0,1,0,1,0,1,0,0) =          4 /         15 == 0.2666666667 =/= 0.2666666667
             d1r2a(1,0,0,1,0,0,1,1) =         -2 /          5 == -0.4000000000 =/= -0.4000000000
             d1r2a(0,1,0,0,0,1,0,1) =          1 /          2 == 0.5000000000 =/= 0.5000000000
             d1r2a(1,0,0,1,0,0,0,1) =         -2 /          5 == -0.4000000000 =/= -0.4000000000
             d1r2a(1,0,0,1,0,0,0,0) =         -2 /          5 == -0.4000000000 =/= -0.4000000000
             d1r2a(1,0,0,0,1,1,1,1) =         -7 /         20 == -0.3500000000 =/= -0.3500000000
             d1r2b(1,0,0,0,1,1,1,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,1,1,1,1,_) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2b(1,0,0,0,1,1,1,0) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,1,1,1,0,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,1,1,1,0,0) =        -19 /         60 == -0.3166666667 =/= -0.3166666667
             d1r2b(1,0,0,0,1,1,0,1) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
           d1r2c(1,0,0,0,1,0,1,1,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(1,0,0,0,1,0,1,1,0) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
             d1r2b(0,1,0,1,0,0,0,1) =          1 /          5 == 0.2000000000 =/= 0.2000000000
           d1r2c(1,0,0,0,1,0,1,0,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,1,0,1,0,0) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
             d1r2a(1,0,0,0,1,1,1,0) =        -19 /         60 == -0.3166666667 =/= -0.3166666667
           d1r2c(1,0,0,0,1,1,0,1,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,1,1,0,1,0) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
           d1r2c(1,0,0,0,1,1,0,0,1) =        -13 /         60 == -0.2166666667 =/= -0.2166666667
           d1r2c(1,0,0,0,1,1,0,0,0) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
           d1r2c(1,0,0,0,1,0,0,1,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
           d1r2c(1,0,0,0,1,0,0,1,0) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
           d1r2c(1,0,0,0,1,0,0,0,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(1,0,0,0,1,0,0,0,0) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2a(1,0,0,0,1,1,0,1) =        -19 /         60 == -0.3166666667 =/= -0.3166666667
             d1r2b(1,0,0,0,1,0,1,1) =         -7 /         30 == -0.2333333333 =/= -0.2333333333
             d1r2b(0,1,1,0,0,0,0,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2b(1,0,0,0,1,0,0,1) =         -1 /          4 == -0.2500000000 =/= -0.2500000000
             d1r2b(0,1,0,0,0,0,0,1) =          7 /         30 == 0.2333333333 =/= 0.2333333333
             d1r2a(1,0,0,0,1,1,0,0) =        -19 /         60 == -0.3166666667 =/= -0.3166666667
             d1r2b(1,0,0,0,0,1,1,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2b(1,0,0,0,0,1,1,0) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
             d1r2b(0,1,0,1,1,0,0,0) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2b(0,1,0,1,0,0,0,0) =          1 /         10 == 0.1000000000 =/= 0.1000000000
             d1r2a(1,0,0,0,1,0,1,0) =         -4 /         15 == -0.2666666667 =/= -0.2666666667
             d1r2a(0,1,1,0,0,0,1,0) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2b(0,1,1,0,1,0,0,0) =          1 /          5 == 0.2000000000 =/= 0.2000000000
             d1r2b(0,1,1,0,0,0,0,0) =          1 /         20 == 0.0500000000 =/= 0.0500000000
             d1r2b(1,0,0,0,0,0,0,1) =        -23 /         60 == -0.3833333333 =/= -0.3833333333
             d1r2b(0,1,0,0,0,0,0,0) =          1 /          5 == 0.2000000000 =/= 0.2000000000
             d1r2a(1,0,0,0,1,0,0,0) =         -4 /         15 == -0.2666666667 =/= -0.2666666667
             d1r2a(0,1,0,1,0,0,1,1) =          1 /          6 == 0.1666666667 =/= 0.1666666667
           d1r2c(1,0,0,0,0,1,1,1,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(1,0,0,0,0,1,1,1,0) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,0,1,1,0,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,0,1,1,0,0) =         -7 /         20 == -0.3500000000 =/= -0.3500000000
           d1r2c(1,0,0,0,0,0,1,1,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(1,0,0,0,0,0,1,1,0) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(1,0,0,0,0,0,1,0,1) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
           d1r2c(1,0,0,0,0,0,1,0,0) =         -7 /         30 == -0.2333333333 =/= -0.2333333333
             d1r2a(1,0,0,0,0,1,1,0) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
           d1r2c(1,0,0,0,0,1,0,1,1) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
           d1r2c(1,0,0,0,0,1,0,1,0) =         -3 /         20 == -0.1500000000 =/= -0.1500000000
           d1r2c(1,0,0,0,0,1,0,0,1) =        -17 /         60 == -0.2833333333 =/= -0.2833333333
           d1r2c(1,0,0,0,0,1,0,0,0) =        -29 /         60 == -0.4833333333 =/= -0.4833333333
           d1r2c(1,0,0,0,0,0,0,1,1) =         -3 /         20 == -0.1500000000 =/= -0.1500000000
           d1r2c(1,0,0,0,0,0,0,1,0) =         -3 /         20 == -0.1500000000 =/= -0.1500000000
           d1r2c(1,0,0,0,0,0,0,0,1) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
           d1r2c(1,0,0,0,0,0,0,0,0) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
             d1r2a(0,1,0,1,0,0,1,0) =          1 /          6 == 0.1666666667 =/= 0.1666666667
             d1r2a(1,0,0,0,0,1,0,0) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
             d1r2a(1,0,0,0,0,0,1,1) =         -3 /         10 == -0.3000000000 =/= -0.3000000000
             d1r2a(0,1,0,0,0,0,0,1) =          3 /         10 == 0.3000000000 =/= 0.3000000000
             d1r2a(1,0,0,0,0,0,0,1) =         -3 /         10 == -0.3000000000 =/= -0.3000000000
             d1r2a(1,0,0,0,0,0,0,0) =         -1 /          5 == -0.2000000000 =/= -0.2000000000
           d1r2c(0,0,1,1,1,1,_,_,_) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,1,1,0,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,0,1,1,1,0,1,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,1,1,0,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,1,1,0,0,0,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(0,0,1,1,0,1,1,1,_) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,1,0,1,1,0,1) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,0,1,1,0,1,1,0,0) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,0,1,1,0,0,1,0,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(0,0,1,1,0,0,1,0,0) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(0,0,1,1,0,1,0,1,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(0,0,1,1,0,1,0,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,1,0,1,0,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,1,0,0,0,1,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
           d1r2c(0,0,1,1,0,0,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,0,1,1,0,0,0,0,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
             d1r2b(0,0,1,1,0,1,1,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,1,0,1,1,_) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(0,1,1,0,1,0,0,1,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(0,1,1,0,1,0,0,1,0) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
             d1r2b(0,0,0,1,0,1,1,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
             d1r2b(0,0,1,0,0,1,1,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
             d1r2b(0,0,0,1,1,1,1,0) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
             d1r2b(0,0,1,1,0,0,1,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,1,1,0,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,1,1,0,0) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,0,1,1,1) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,1,0,0,0,1,0,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,0,1,0,0) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,1,0,0,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,1,0,0,0) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,0,0,0,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,1,0,0,0,0,0,0) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,0,1,0,1,1,1,1,_) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,1,1,1,0,1) =         -7 /         60 == -0.1166666667 =/= -0.1166666667
           d1r2c(0,0,1,0,1,1,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
             d1r2b(0,0,1,0,1,1,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,1,0,1,1,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
             d1r2b(0,0,1,0,1,1,0,0) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(0,0,1,0,1,0,1,0,1) =         -7 /         60 == -0.1166666667 =/= -0.1166666667
           d1r2c(0,0,1,0,1,0,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,1,1,0,1,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,1,1,0,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,1,1,0,0,1) =          1 /         15 == 0.0666666667 =/= 0.0666666667
           d1r2c(0,0,1,0,1,0,0,0,1) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
             d1r2b(0,0,1,0,0,0,1,1) =          1 /          5 == 0.2000000000 =/= 0.2000000000
             d1r2b(0,0,0,1,1,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,0,1,0,0,1,1,1,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,0,1,1,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,0,1,1,0,1) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,0,1,0,0,1,1,0,0) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,0,1,0,0,0,1,0,1) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,0,1,0,0,0,1,0,0) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,0,1,0,0,1,0,1,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(0,0,1,0,0,1,0,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,1,0,0,1,0,0,1) =          1 /         15 == 0.0666666667 =/= 0.0666666667
           d1r2c(0,0,1,0,0,0,0,0,1) =         -1 /         30 == -0.0333333333 =/= -0.0333333333
           d1r2c(0,1,0,1,1,1,_,_,_) =          1 /         12 == 0.0833333333 =/= 0.0833333333
           d1r2c(0,1,0,1,1,0,1,1,_) =          1 /         12 == 0.0833333333 =/= 0.0833333333
           d1r2c(0,1,0,1,1,0,0,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
           d1r2c(0,1,0,1,1,0,0,1,0) =          1 /         12 == 0.0833333333 =/= 0.0833333333
           d1r2c(0,1,0,1,1,0,1,0,1) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,1,1,0,1,0,0) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,1,1,0,0,0,1) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,1,1,0,0,0,0) =         11 /         60 == 0.1833333333 =/= 0.1833333333
             d1r2a(0,0,1,0,1,1,1,1) =          1 /         60 == 0.0166666667 =/= 0.0166666667
             d1r2a(0,0,1,0,1,1,0,1) =          1 /         60 == 0.0166666667 =/= 0.0166666667
             d1r2a(0,0,1,0,1,1,1,0) =          1 /         60 == 0.0166666667 =/= 0.0166666667
             d1r2a(0,0,1,0,1,1,0,0) =          1 /         60 == 0.0166666667 =/= 0.0166666667
             d1r2a(0,0,0,1,1,1,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
           d1r2c(0,1,0,1,0,1,1,1,_) =          1 /          6 == 0.1666666667 =/= 0.1666666667
           d1r2c(0,1,0,1,0,1,1,0,1) =          1 /          6 == 0.1666666667 =/= 0.1666666667
           d1r2c(0,1,0,1,0,1,1,0,0) =          1 /          6 == 0.1666666667 =/= 0.1666666667
           d1r2c(0,1,0,1,0,0,1,1,1) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,0,1,0,0,1,1,0) =          1 /          6 == 0.1666666667 =/= 0.1666666667
           d1r2c(0,1,0,1,0,0,1,0,1) =          4 /         15 == 0.2666666667 =/= 0.2666666667
           d1r2c(0,1,0,1,0,0,1,0,0) =          4 /         15 == 0.2666666667 =/= 0.2666666667
             d1r2a(0,0,0,1,1,1,0,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(0,1,0,1,0,1,0,1,1) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,1,0,1,0,1,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,1,0,1,0,1,0,0,1) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,1,0,1,0,1,0,0,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,1,0,1,0,0,0,1,1) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,1,0,1,0,0,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,1,0,1,0,0,0,0,1) =          2 /         15 == 0.1333333333 =/= 0.1333333333
           d1r2c(0,1,0,1,0,0,0,0,0) =          2 /         15 == 0.1333333333 =/= 0.1333333333
             d1r2a(0,0,1,1,0,1,0,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,0,0,1,1,1,0,0) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
           d1r2c(0,0,0,1,1,1,1,1,_) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,1,1,1,0,1) =         -7 /         60 == -0.1166666667 =/= -0.1166666667
           d1r2c(0,0,0,1,1,1,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,1,0,1,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,1,0,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,1,1,0,1,1) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
           d1r2c(0,0,0,1,1,1,0,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,1,1,0,0,1) =          1 /         15 == 0.0666666667 =/= 0.0666666667
           d1r2c(0,0,0,1,1,0,0,1,1) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,0,0,1,1,0,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,0,0,1,1,0,0,0,1) =          1 /         15 == 0.0666666667 =/= 0.0666666667
             d1r2a(0,0,1,0,1,0,0,1) =          1 /          5 == 0.2000000000 =/= 0.2000000000
             d1r2a(0,0,1,0,0,1,1,1) =          1 /         60 == 0.0166666667 =/= 0.0166666667
           d1r2c(0,0,0,1,0,1,1,1,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,0,1,1,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,0,1,1,0,1) =         -7 /         60 == -0.1166666667 =/= -0.1166666667
           d1r2c(0,0,0,1,0,1,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,0,0,1,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,0,0,1,0,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
             d1r2a(0,0,1,0,0,1,1,0) =          1 /         60 == 0.0166666667 =/= 0.0166666667
           d1r2c(0,0,0,1,0,1,0,1,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,0,1,0,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,0,0,1,0,1,0,0,1) =          1 /         20 == 0.0500000000 =/= 0.0500000000
           d1r2c(0,0,0,1,0,0,0,1,0) =          1 /         30 == 0.0333333333 =/= 0.0333333333
           d1r2c(0,0,0,1,0,0,0,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
             d1r2a(0,0,0,1,1,0,1,0) =         -1 /         60 == -0.0166666667 =/= -0.0166666667
             d1r2a(0,0,0,1,1,0,0,0) =         -1 /         60 == -0.0166666667 =/= -0.0166666667
           d1r2c(0,1,0,0,1,1,1,1,_) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,0,1,1,1,0,1) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,1,1,0,0) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,0,1,1,1) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,0,0,1,0,1,1,0) =         11 /         60 == 0.1833333333 =/= 0.1833333333
             d1r2b(0,0,0,1,0,1,0,1) =          1 /         10 == 0.1000000000 =/= 0.1000000000
           d1r2c(0,1,0,0,1,0,1,0,1) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,0,1,0,0) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,1,0,1,1) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,0,1,1,0,1,0) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,0,1,1,0,0,1) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,1,0,0,0) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,0,0,1,1) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,0,1,0,0,1,0) =         11 /         60 == 0.1833333333 =/= 0.1833333333
           d1r2c(0,1,0,0,1,0,0,0,1) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,1,0,0,0,0) =         17 /         60 == 0.2833333333 =/= 0.2833333333
           d1r2c(0,1,0,0,0,1,1,1,1) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,0,0,0,1,1,1,0) =          4 /         15 == 0.2666666667 =/= 0.2666666667
           d1r2c(0,1,0,0,0,1,1,0,1) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,0,0,0,1,1,0,0) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,0,0,0,0,1,1,1) =          4 /         15 == 0.2666666667 =/= 0.2666666667
           d1r2c(0,1,0,0,0,0,1,1,0) =          4 /         15 == 0.2666666667 =/= 0.2666666667
           d1r2c(0,1,0,0,0,0,1,0,1) =         11 /         30 == 0.3666666667 =/= 0.3666666667
           d1r2c(0,1,0,0,0,0,1,0,0) =         11 /         30 == 0.3666666667 =/= 0.3666666667
             d1r2a(0,0,0,1,0,1,0,1) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
           d1r2c(0,1,0,0,0,1,0,1,1) =          2 /         15 == 0.1333333333 =/= 0.1333333333
           d1r2c(0,1,0,0,0,1,0,1,0) =          2 /         15 == 0.1333333333 =/= 0.1333333333
           d1r2c(0,1,0,0,0,1,0,0,1) =          7 /         30 == 0.2333333333 =/= 0.2333333333
           d1r2c(0,1,0,0,0,1,0,0,0) =          7 /         30 == 0.2333333333 =/= 0.2333333333
           d1r2c(0,1,0,0,0,0,0,1,1) =          2 /         15 == 0.1333333333 =/= 0.1333333333
           d1r2c(0,1,0,0,0,0,0,1,0) =          2 /         15 == 0.1333333333 =/= 0.1333333333
           d1r2c(0,1,0,0,0,0,0,0,1) =          7 /         30 == 0.2333333333 =/= 0.2333333333
           d1r2c(0,1,0,0,0,0,0,0,0) =          7 /         30 == 0.2333333333 =/= 0.2333333333
         d1r2d(0,1,1,0,1,1,_,_,_,_) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
         d1r2d(0,1,0,1,1,1,_,_,_,_) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
         d1r2d(0,1,0,1,1,0,1,1,_,_) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
         d1r2d(0,1,1,0,1,0,1,1,_,_) =         -1 /         10 == -0.1000000000 =/= -0.1000000000
         d1r2d(0,1,1,0,0,0,1,1,1,1) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
         d1r2d(0,1,1,0,0,0,1,1,1,0) =         -1 /         20 == -0.0500000000 =/= -0.0500000000
         d1r2d(1,0,0,1,1,1,_,_,_,_) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
         d1r2d(1,0,0,1,1,0,1,1,_,_) =        -11 /         60 == -0.1833333333 =/= -0.1833333333
         d1r2d(1,0,0,1,1,0,0,1,1,1) =          1 /         30 == 0.0333333333 =/= 0.0333333333
         d1r2d(1,0,0,1,1,0,0,1,1,0) =         -2 /         15 == -0.1333333333 =/= -0.1333333333
         d1r2d(1,0,0,1,1,0,0,0,1,1) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
