                                  w =         12 /         53 == 0.2264150943 =/= 0.2264150943
 d1r2a(1,0,0,1,1,1,_,_,_,_,_,_,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,1,0,0,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,1,0,0,0,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,1,0,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,1,0,0,0,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,1,0,0,0,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,1,0,0,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,1,0,0,0,0,0,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,1,0,0,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,1,0,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,1,0,0,0,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,0,1,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,0,1,1,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,1,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,1,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,0,1,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,1,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,1,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,0,0,0,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,0,1,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,0,1,0,0,1,1,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,0,0,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,0,0,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,1,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,1,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,1,0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,0,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,0,1,0,0,1,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,0,0,0,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,0,1,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,0,0,0,0,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,1,1,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= -0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,1,0,0,0,0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,0,0,1,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,0,0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,0,1,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,0,0,0,1,0,1,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,0,1,1,0,0,0,1,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(0,1,0,1,1,0,1,0,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
 d1r2a(1,0,1,0,0,0,0,1,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
